Наименование улицы;Номер дома
Абая;181
Абая;175
Абая;177
Абая;179
Жарокова;12
Жарокова;8
Жарокова;10
Жарокова;14
Карасай батыра;187
Нұрлы жол;11
Богенбай батыра;265
Жарокова;4
Жарокова;6
Жарокова;2 А
Нурлы жол;3
Нұрлы Жол;5
Толе би;178 А
Толе би;180
Толе би/Нурлы жол;172/1
Кашгарская;58
Кашгарская;54
Кашгарская;56
Кашгарская;58 А
Масанчи;77
Масанчи;79
Аносова;101
Богенбай батыра;305
Бруно;95
Бруно;93
Бруно;97
Бруно;91
Богенбай батыра;314
Бруно;89
Бруно;99
Бруно;101
Верещагина;139
Верещагина;137 А
Верещагина;133
Верещагина;135
Верещагина;137
Верещагина;141
Карасай батыра;241
Карасай батыра;239
Карасай батыра;235
Толе би;224
Жамбыла;124/126
Шагабутдинова;128
Шагабутдинова;126
Шагабутдинова;132
Шевченко;121
Шевченко;115
Шевченко;119
Шарипова/Шевченко;108/113
Шевченко;111
Байзакова;269
Байзакова;271
Жамбыла;172
Жамбыла;172 А
Жамбыла;172 В
Жамбыла;172 Г
Жамбыла;174
Жамбыла;174 А
Жамбыла;174 Б
Жамбыла;176
Жамбыла;176 А
Жамбыла;176 А/1
Жамбыла;176 Б/1
Жамбыла;176 Б/2
Жамбыла;176 В
Жамбыла;178
Жамбыла;180
Жамбыла;180 Б
Жамбыла;180 Е
Жамбыла;182
Шевченко;147 А
Шевченко;147 Б
Шевченко;147 В
Шевченко;147 Г
Шевченко;147 Д
Шевченко;147 Е
Шевченко;147 К
Жамбыла;166
Жамбыла;168
Жамбыла;168 А
Байзакова;246
Байзакова;248
Байзакова;281/105
Байзакова;252
Байзакова;250
Варламова;50 А
Варламова;50
Досмухамедова;42
Казыбек би;104
Казыбек би;106
Наурызбай батыра;15/64
Торекулова;66
Сейфуллина;473 В
Сейфуллина;473
Сейфуллина;469
Тлендиева;2 Е
Тлендиева;2 В
Тлендиева;5
Тлендиева;2 Б
Шарипова;12
Шарипова;14
Абая;67/2
Амангельды;17
Богенбай батыра;245
Досмухамедова;54
Жамбыла;97
Жибек жолы;155
Кабанбай батыра;150/75
Казыбек би;127
Кашгарская;61 А
Масанчи;23А
Панфилова;61
Панфилова;154/48
Райымбека;158
Райымбека;174 Г
Сейфуллина;518
Сейфуллина;553
Шагабутдинова;9 А
